星上时间,反向数控衰减数据TMZ123源码,馈电1俯仰角TMZ150工程值,接收阵波束3方位角TMZ159工程值,接收阵波束4俯仰角TMZ162工程值,发射等通量模式TMZ194工程值,发射阵1-波束2衰减量TMZ296工程值,发射阵2-波束3ALC控制量TMZ341工程值,发射阵2-波束4ALCTMZ322工程值,发射阵1-波束2衰减量TMZ296源码,发射2-波束4ALC控制量（快）TMZ122源码,发射阵2-波束4衰减量TMZ338源码,接收阵波束3俯仰角TMZ160源码,发射阵1-波束3ALC控制量TMZ301工程值,接收阵波束1方位角TMZ155源码,发射阵1-波束1ALCTMZ279源码,馈电1方位角TMZ151工程值,发射阵1-波束3ALCTMZ281工程值,馈电2信关站TMZ152工程值,发射阵1-波束4衰减量TMZ298源码,馈电1方位角TMZ151源码,发射阵1-波束1衰减量TMZ295工程值,接收阵-波束1衰减量TMZ375工程值,发射等通量模式TMZ194源码,变频转发器锁定指示1TMZ204源码,发射阵1-波束4ALCTMZ282源码,发射阵2-波束3ALCTMZ321工程值,接收阵波束2俯仰角TMZ158源码,变频转发器锁定指示2TMZ205工程值,接收阵-波束2信道化控制量TMZ380源码,变频转发器前向变频功率TMZ061源码,发射阵2-波束2ALC控制量TMZ340源码,接收阵波束4方位角TMZ161源码,接收阵-波束4信道化控制量TMZ382源码,接收阵-波束2衰减量TMZ376工程值,发射阵2-波束2衰减量TMZ336工程值,发射阵2-波束1ALC控制量TMZ339工程值,发射阵2-波束1衰减量TMZ335工程值,发射阵1-波束4衰减量TMZ298工程值,变频转发器前向变频功率TMZ061工程值,发射2-波束4ALC控制量（快）TMZ122工程值,发射阵2-波束4衰减量TMZ338工程值,发射阵2-波束3ALC控制量TMZ341源码,接收阵-波束3信道化控制量TMZ381工程值,变频转发器锁定指示1TMZ204工程值,反向数控衰减数据TMZ123工程值,反向额定输入通量密度TMZ196工程值,发射阵2-波束3ALCTMZ321源码,接收阵波束4俯仰角TMZ162源码,馈电2方位角TMZ154工程值,变频转发器功放2功率TMZ208源码,馈电1信关站TMZ149源码,发射阵1-波束3衰减量TMZ297源码,发射阵1-波束2ALCTMZ280源码,变频转发器功放1功率TMZ060工程值,接收阵-波束1信道化控制量TMZ379源码,接收阵-波束3信道化控制量TMZ381源码,发射阵1-波束3衰减量TMZ297工程值,馈电1信关站TMZ149工程值,接收阵-波束4衰减量TMZ378工程值,变频转发器锁定指示2TMZ205源码,接收阵-波束2信道化控制量TMZ380工程值,发射阵1-波束1ALCTMZ279工程值,发射阵2-波束2ALCTMZ320工程值,发射阵2-波束3衰减量TMZ337源码,接收阵波束1俯仰角TMZ156源码,反向路径补偿模式TMZ195工程值,发射阵2-波束1ALC控制量TMZ339源码,发射阵1-波束3ALCTMZ281源码,接收阵-波束2衰减量TMZ376源码,馈电2俯仰角TMZ153工程值,接收阵-波束4信道化控制量TMZ382工程值,发射阵2-波束状态TMZ323工程值,反向额定输入通量密度TMZ196源码,馈电2信关站TMZ152源码,馈电2俯仰角TMZ153源码,接收阵-波束4衰减量TMZ378源码,发射阵2-波束4ALCTMZ322源码,发射阵2-波束3衰减量TMZ337工程值,变频转发器功放1功率TMZ060源码,发射阵1-波束3ALC控制量TMZ301源码,发射阵1-波束4ALC控制量TMZ302源码,发射阵2-波束2衰减量TMZ336源码,接收阵波束2方位角TMZ157工程值,接收阵波束3方位角TMZ159源码,发射阵2-波束1ALCTMZ319工程值,发射阵1-波束4ALCTMZ282工程值,反向路径补偿模式TMZ195源码,接收阵波束2俯仰角TMZ158工程值,发射阵2-波束1衰减量TMZ335源码,接收阵波束4方位角TMZ161工程值,发射阵1-波束4ALC控制量TMZ302工程值,接收阵-波束3衰减量TMZ377工程值,发射阵1-波束2ALC控制量TMZ300源码,发射阵2-波束1ALCTMZ319源码,发射阵2-波束2ALCTMZ320源码,变频转发器功放2功率TMZ208工程值,馈电2方位角TMZ154源码,接收阵波束1方位角TMZ155工程值,接收阵波束2方位角TMZ157源码,发射阵1-波束1ALC控制量TMZ299工程值,接收阵-波束1衰减量TMZ375源码,发射阵2-波束4ALC控制量TMZ342源码,发射阵1-波束1ALC控制量TMZ299源码,馈电1俯仰角TMZ150源码,接收阵波束3俯仰角TMZ160工程值,发射阵2-波束4ALC控制量TMZ342工程值,接收阵-波束3衰减量TMZ377源码,发射阵1-波束1衰减量TMZ295源码,发射阵2-波束2ALC控制量TMZ340工程值,发射阵1-波束2ALCTMZ280工程值,发射阵1-波束2ALC控制量TMZ300工程值,发射阵2-波束状态TMZ323源码,接收阵-波束1信道化控制量TMZ379工程值,接收阵波束1俯仰角TMZ156工程值
2025-02-20 00:07:07.626,2a,0.0,0.0,60.0,非等通量,52.0,38.0,1.19750977,34.0,27,34.0,1770,35.0,0000,2fe0,0.0,0.85083008,255.0,34.0,0000,52.0,26.0,0.0,5.0,1bc0,1.23535156,1770,0.09765625,3f,05,29,0000,3f,26.0,52.0,35.0,52.0,52.0,-13.82371902,39.0,52.0,26,63.0,0.09765625,21.0,-92.0,3f40,1770,0.0,05,ff,34.0,1f10,4.53732252,3f,3f,52.0,255.0,26.0,05,63.0,0.93505859,0.99609375,34.0,1770,路径补偿,23,2b90,1a,0.0,63.0,关闭,8.0,ff,0000,1a,3d50,52.0,05,23,2b,34.0,0.0,0000,1.06201172,0.54199219,0.0,60.0,34.0,0.0,43.0,26.0,29,3660,3300,5.35379028,0000,0.0,0000,38.0,1a,27,26,0000,60.0,39.0,1a,34.0,41.0,0.60668945,41.0,00,63.0,60.0
2025-02-20 00:24:11.626,2a,0.0,180.0,60.0,非等通量,52.0,38.0,1.19750977,34.0,27,34.0,1770,35.0,4650,2fe0,0.0,0.85083008,255.0,34.0,0000,52.0,26.0,0.0,5.0,1bc0,1.23535156,1770,0.09765625,3f,05,29,4650,3f,26.0,52.0,35.0,52.0,52.0,-13.82371902,39.0,52.0,26,63.0,0.09765625,21.0,-92.0,3f40,1770,0.0,05,ff,34.0,1f10,4.53732252,3f,3f,52.0,255.0,26.0,05,63.0,0.93505859,0.99609375,34.0,1770,路径补偿,23,2b90,1a,0.0,63.0,关闭,8.0,ff,0000,1a,3d50,52.0,05,23,2b,34.0,180.0,4650,1.06201172,0.54199219,0.0,60.0,34.0,180.0,43.0,26.0,29,3660,3300,5.35379028,0000,180.0,4650,38.0,1a,27,26,0000,60.0,39.0,1a,34.0,41.0,0.60668945,41.0,00,63.0,60.0
2025-02-20 00:41:15.627,2a,0.0,180.0,60.0,非等通量,52.0,38.0,1.19750977,34.0,27,34.0,1770,35.0,4650,2fe0,0.0,0.85083008,255.0,34.0,0000,52.0,26.0,0.0,5.0,1bc0,1.23535156,1770,0.09765625,3f,05,29,4650,3f,26.0,52.0,35.0,52.0,52.0,-13.82371902,39.0,52.0,26,63.0,0.09765625,21.0,-92.0,3f40,1770,0.0,05,ff,34.0,1f10,4.53732252,3f,3f,52.0,255.0,26.0,05,63.0,0.93505859,0.99609375,34.0,1770,路径补偿,23,2b90,1a,0.0,63.0,关闭,8.0,ff,0000,1a,3d50,52.0,05,23,2b,34.0,180.0,4650,1.06201172,0.54199219,0.0,60.0,34.0,180.0,43.0,26.0,29,3660,3300,5.35379028,0000,180.0,4650,38.0,1a,27,26,0000,60.0,39.0,1a,34.0,41.0,0.60668945,41.0,00,63.0,60.0
2025-02-20 00:58:19.624,2a,0.0,180.0,60.0,非等通量,52.0,38.0,1.19750977,34.0,27,34.0,1770,35.0,4650,2fe0,0.0,0.85083008,255.0,34.0,0000,52.0,26.0,0.0,5.0,1bc0,1.23535156,1770,0.09765625,3f,05,29,4650,3f,26.0,52.0,35.0,52.0,52.0,-13.82371902,39.0,52.0,26,63.0,0.09765625,21.0,-92.0,3f40,1770,0.0,05,ff,34.0,1f10,4.53732252,3f,3f,52.0,255.0,26.0,05,63.0,0.93505859,0.99609375,34.0,1770,路径补偿,23,2b90,1a,0.0,63.0,关闭,8.0,ff,0000,1a,3d50,52.0,05,23,2b,34.0,180.0,4650,1.06201172,0.54199219,0.0,60.0,34.0,180.0,43.0,26.0,29,3660,3300,5.35379028,0000,180.0,4650,38.0,1a,27,26,0000,60.0,39.0,1a,34.0,41.0,0.60668945,41.0,00,63.0,60.0
2025-02-20 01:15:23.624,2a,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,-13.82371902,39.0,,,,,21.0,,,,,,,,,4.53732252,,,,,,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20 01:32:29.627,2a,0.0,0.0,60.0,非等通量,52.0,38.0,1.19750977,34.0,27,34.0,1770,35.0,0000,2fe0,0.0,0.85083008,255.0,34.0,0000,52.0,26.0,0.0,5.0,1bc0,1.23535156,1770,0.09765625,3f,05,29,0000,3f,26.0,52.0,35.0,52.0,52.0,-13.82371902,39.0,52.0,26,63.0,0.09765625,21.0,-92.0,3f40,1770,0.0,05,ff,34.0,1f10,4.53732252,3f,3f,52.0,255.0,26.0,05,63.0,0.93505859,0.99609375,34.0,1770,路径补偿,23,2b90,1a,0.0,63.0,关闭,8.0,ff,0000,1a,3d50,52.0,05,23,2b,34.0,0.0,0000,1.06201172,0.54199219,0.0,60.0,34.0,0.0,43.0,26.0,29,3660,3300,5.35379028,0000,0.0,0000,38.0,1a,27,26,0000,60.0,39.0,1a,34.0,41.0,0.60668945,41.0,00,63.0,60.0
2025-02-20 01:32:29.627,2a,0.0,0.0,60.0,非等通量,52.0,38.0,1.19750977,34.0,27,34.0,1770,35.0,0000,2fe0,0.0,0.85083008,255.0,34.0,0000,52.0,26.0,0.0,5.0,1bc0,1.23535156,1770,0.09765625,3f,05,29,0000,3f,26.0,52.0,35.0,52.0,52.0,-13.82371902,39.0,52.0,26,63.0,0.09765625,21.0,-92.0,3f40,1770,0.0,05,ff,34.0,1f10,4.53732252,3f,3f,52.0,255.0,26.0,05,63.0,0.93505859,0.99609375,34.0,1770,路径补偿,23,2b90,1a,0.0,63.0,关闭,8.0,ff,0000,1a,3d50,52.0,05,23,2b,34.0,0.0,0000,1.06201172,0.54199219,0.0,60.0,34.0,0.0,43.0,26.0,29,3660,3300,5.35379028,0000,0.0,0000,38.0,1a,27,26,0000,60.0,39.0,1a,34.0,41.0,0.60668945,41.0,00,63.0,60.0
2025-02-20 01:32:29.627,2a,0.0,0.0,60.0,非等通量,52.0,38.0,1.19750977,34.0,27,34.0,1770,35.0,0000,2fe0,0.0,0.85083008,255.0,34.0,0000,52.0,26.0,0.0,5.0,1bc0,1.23535156,1770,0.09765625,3f,05,29,0000,3f,26.0,52.0,35.0,52.0,52.0,-13.82371902,39.0,52.0,26,63.0,0.09765625,21.0,-92.0,3f40,1770,0.0,05,ff,34.0,1f10,4.53732252,3f,3f,52.0,255.0,26.0,05,63.0,0.93505859,0.99609375,34.0,1770,路径补偿,23,2b90,1a,0.0,63.0,关闭,8.0,ff,0000,1a,3d50,52.0,05,23,2b,34.0,0.0,0000,1.06201172,0.54199219,0.0,60.0,34.0,0.0,43.0,26.0,29,3660,3300,5.35379028,0000,0.0,0000,38.0,1a,27,26,0000,60.0,39.0,1a,34.0,41.0,0.60668945,41.0,00,63.0,60.0
2025-02-20 01:32:29.627,2a,0.0,0.0,60.0,非等通量,52.0,38.0,1.19750977,34.0,27,34.0,1770,35.0,0000,2fe0,0.0,0.85083008,255.0,34.0,0000,52.0,26.0,0.0,5.0,1bc0,1.23535156,1770,0.09765625,3f,05,29,0000,3f,26.0,52.0,35.0,52.0,52.0,-13.82371902,39.0,52.0,26,63.0,0.09765625,21.0,-92.0,3f40,1770,0.0,05,ff,34.0,1f10,4.53732252,3f,3f,52.0,255.0,26.0,05,63.0,0.93505859,0.99609375,34.0,1770,路径补偿,23,2b90,1a,0.0,63.0,关闭,8.0,ff,0000,1a,3d50,52.0,05,23,2b,34.0,0.0,0000,1.06201172,0.54199219,0.0,60.0,34.0,0.0,43.0,26.0,29,3660,3300,5.35379028,0000,0.0,0000,38.0,1a,27,26,0000,60.0,39.0,1a,34.0,41.0,0.60668945,41.0,00,63.0,60.0
2025-02-20 01:45:01.626,26,,,,,,,,,7e,,,,,,,,,,,,,,,,,,,,05,,,,,,,,,-13.82371902,126.0,,,,,19.0,,,,,,,,,28.00312424,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
